subject_id,task,data.value
44121861,T1,[{'0': 1}]
44121861,T2,[{'6': 1}]
44121861,T3,[{'0': 1}]
44121861,T4,[{'0': 1}]
44121861,T5,[{'13': 1}]
44121861,T7,[{'0': 1}]
44121861,T8,[{'0': 1}]
44121861,T9,[{'0': 1}]
44121861,T10,[{'0': 1}]
44121861,T11,[{'0': 1}]
44121861,T13,[{'0': 1}]
44121861,T14,[{'0': 1}]
44121861,T15,[{'0': 1}]
44121861,T16,[{'1': 1}]
44121861,T17,[{'0': 1}]
44121861,T19,[{'0': 1}]
44121861,T20,[{'0': 1}]
44121861,T21,[{'0': 1}]
44121861,T22,[{'0': 1}]
44121861,T23,[{'0': 1}]
44121861,T25,[{'0': 1}]
44121861,T26,[{'0': 1}]
44121861,T27,[{'0': 1}]
44121861,T28,[{'0': 1}]
44121861,T29,[{'0': 1}]
44121866,T1,[{'0': 1}]
44121866,T2,[{'0': 1}]
44121866,T3,[{'0': 1}]
44121866,T4,[{'0': 1}]
44121866,T5,[{'0': 1}]
44121866,T7,[{'0': 1}]
44121866,T8,[{'0': 1}]
44121866,T9,[{'0': 1}]
44121866,T10,[{'0': 1}]
44121866,T11,[{'0': 1}]
44121866,T13,[{'0': 1}]
44121866,T14,[{'0': 1}]
44121866,T15,[{'0': 1}]
44121866,T16,[{'0': 1}]
44121866,T17,[{'1': 1}]
44121866,T19,[{'0': 1}]
44121866,T20,[{'0': 1}]
44121866,T21,[{'0': 1}]
44121866,T22,[{'0': 1}]
44121866,T23,[{'0': 1}]
44121866,T25,[{'0': 1}]
44121866,T26,[{'0': 1}]
44121866,T27,[{'13': 1}]
44121866,T28,[{'13': 1}]
44121866,T29,[{'13': 1}]
44121869,T1,[{'0': 1}]
44121869,T2,[{'19': 1}]
44121869,T3,[{'0': 1}]
44121869,T4,[{'0': 1}]
44121869,T5,[{'0': 1}]
44121869,T7,[{'13': 1}]
44121869,T8,[{'0': 1}]
44121869,T9,[{'0': 1}]
44121869,T10,[{'0': 1}]
44121869,T11,[{'0': 1}]
44121869,T13,[{'7': 1}]
44121869,T14,[{'1': 1}]
44121869,T15,[{'13': 1}]
44121869,T16,[{'0': 1}]
44121869,T17,[{'13': 1}]
44121869,T19,[{'8': 1}]
44121869,T20,[{'0': 1}]
44121869,T21,[{'0': 1}]
44121869,T22,[{'13': 1}]
44121869,T23,[{'0': 1}]
44121869,T25,[{'13': 1}]
44121869,T26,[{'0': 1}]
44121869,T27,[{'0': 1}]
