subject_id,task,data.value
44121904,T2,[{'9': 3}]
44121904,T4,[{'7': 3}]
44121904,T7,[{'7': 2}]
44121904,T8,[{'12': 3}]
44121904,T10,[{'6': 3}]
44121904,T11,[{'7': 3}]
44121904,T13,[{'7': 3}]
44121904,T14,[{'2': 3}]
44121904,T15,[{'14': 3}]
44121904,T16,[{'7': 3}]
44121904,T17,[{'6': 3}]
44121904,T19,[{'12': 3}]
44121904,T20,[{'7': 3}]
44121904,T21,[{'14': 3}]
44121904,T22,[{'7': 3}]
44121904,T23,[{'6': 3}]
44121904,T25,[{'7': 3}]
44121904,T26,[{'2': 3}]
44121904,T27,"[{'10': 1, '6': 2}]"
44121904,T28,[{'7': 3}]
44121904,T29,[{'7': 3}]
44121906,T1,[{'7': 3}]
44121906,T2,[{'14': 3}]
44121906,T3,[{'14': 3}]
44121906,T4,[{'15': 3}]
44121906,T5,[{'7': 3}]
44121906,T7,[{'7': 3}]
44121906,T8,[{'7': 3}]
44121906,T9,"[{'14': 1, '15': 2}]"
44121906,T10,[{'14': 3}]
44121906,T11,[{'14': 3}]
44121906,T13,[{'7': 3}]
44121906,T14,[{'2': 3}]
44121906,T15,[{'14': 3}]
44121906,T16,[{'7': 3}]
44121906,T17,[{'7': 3}]
44121906,T19,[{'7': 3}]
44121906,T20,"[{'10': 2, '15': 1}]"
44121906,T21,"[{'14': 2, '7': 1}]"
44121906,T22,[{'2': 3}]
44121906,T23,[{'6': 3}]
44121906,T25,[{'7': 3}]
44121906,T26,[{'7': 3}]
44121906,T27,"[{'14': 1, '15': 2}]"
44121906,T28,[{'12': 3}]
44121906,T29,[{'7': 3}]
44121907,T1,[{'7': 3}]
44121907,T2,[{'14': 3}]
44121907,T3,[{'14': 3}]
44121907,T4,"[{'6': 1, '15': 2}]"
44121907,T5,[{'2': 3}]
44121907,T7,"[{'6': 1, '7': 1, '15': 1}]"
44121907,T8,[{'7': 3}]
44121907,T9,[{'7': 3}]
44121907,T10,[{'7': 3}]
44121907,T11,"[{'7': 1, '14': 2}]"
44121907,T13,[{'14': 3}]
44121907,T14,[{'7': 3}]
44121907,T15,[{'6': 3}]
44121907,T16,[{'7': 3}]
44121907,T17,[{'7': 3}]
44121907,T19,[{'7': 3}]
44121907,T20,[{'7': 3}]
44121907,T21,[{'7': 3}]
44121907,T22,"[{'7': 1, '14': 2}]"
44121907,T23,"[{'7': 1, '14': 2}]"
44121907,T25,[{'6': 3}]
44121907,T26,[{'12': 3}]
44121907,T27,[{'14': 3}]
44121907,T28,[{'14': 3}]
44121907,T29,[{'14': 3}]
44121908,T1,[{'6': 3}]
44121908,T2,[{'7': 3}]
44121908,T3,[{'7': 3}]
44121908,T4,[{'8': 3}]
44121908,T5,[{'7': 3}]
44121908,T7,[{'14': 3}]
44121908,T8,[{'14': 3}]
44121908,T9,[{'14': 3}]
44121908,T10,[{'7': 3}]
44121908,T11,[{'14': 3}]
44121908,T13,[{'2': 3}]
44121908,T14,[{'6': 3}]
44121908,T15,[{'7': 3}]
44121908,T16,"[{'14': 1, '8': 2}]"
44121908,T17,[{'14': 3}]
44121908,T19,[{'13': 3}]
44121908,T20,[{'7': 3}]
44121908,T21,[{'7': 3}]
44121908,T22,[{'7': 3}]
44121908,T23,[{'7': 3}]
44121908,T25,[{'12': 3}]
44121908,T26,[{'7': 3}]
44121908,T27,[{'7': 3}]
44121908,T28,[{'6': 3}]
44121908,T29,[{'7': 3}]
44121910,T1,[{'12': 3}]
44121910,T2,[{'7': 3}]
44121910,T3,[{'14': 3}]
44121910,T4,[{'8': 3}]
44121910,T5,[{'7': 3}]
44121910,T7,[{'14': 3}]
44121910,T8,[{'2': 3}]
44121910,T9,[{'7': 3}]
44121910,T10,[{'12': 3}]
44121910,T11,[{'6': 3}]
44121910,T13,[{'7': 3}]
44121910,T14,[{'14': 3}]
44121910,T15,[{'7': 3}]
44121910,T16,[{'12': 3}]
44121910,T17,[{'7': 3}]
44121910,T19,[{'13': 3}]
44121910,T20,[{'7': 3}]
44121910,T21,[{'6': 3}]
44121910,T22,[{'6': 3}]
44121910,T23,[{'7': 3}]
44121910,T25,[{'8': 3}]
44121910,T26,[{'8': 3}]
44121910,T27,[{'7': 3}]
44121910,T28,[{'7': 3}]
44121910,T29,[{'15': 3}]
44121912,T1,[{'15': 3}]
44121912,T2,[{'14': 3}]
44121912,T3,[{'8': 3}]
44121912,T4,[{'7': 3}]
44121912,T5,[{'7': 3}]
44121912,T7,[{'7': 3}]
44121912,T8,[{'8': 3}]
44121912,T9,[{'10': 3}]
44121912,T10,[{'12': 3}]
44121912,T11,[{'8': 3}]
44121912,T13,[{'14': 3}]
44121912,T14,[{'8': 3}]
44121912,T15,[{'14': 3}]
44121912,T16,[{'14': 3}]
44121912,T17,[{'14': 3}]
44121912,T19,[{'7': 3}]
44121912,T20,[{'14': 3}]
44121912,T21,[{'2': 3}]
44121912,T22,[{'8': 3}]
44121912,T23,[{'7': 3}]
44121912,T25,[{'10': 3}]
44121912,T26,[{'14': 3}]
44121912,T27,[{'13': 3}]
44121912,T28,[{'14': 3}]
44121912,T29,[{'14': 3}]
44121914,T1,[{'14': 3}]
44121914,T2,[{'7': 3}]
44121914,T3,[{'6': 3}]
44121914,T4,[{'7': 3}]
44121914,T5,[{'12': 3}]
44121914,T7,[{'14': 3}]
44121914,T8,[{'14': 3}]
44121914,T9,[{'14': 3}]
44121914,T10,[{'7': 3}]
44121914,T11,[{'8': 3}]
44121914,T13,[{'6': 3}]
44121914,T14,[{'14': 3}]
44121914,T15,[{'7': 3}]
44121914,T16,[{'7': 3}]
44121914,T17,[{'6': 3}]
44121914,T19,[{'6': 3}]
44121914,T20,[{'14': 3}]
44121914,T21,[{'10': 3}]
44121914,T22,[{'15': 3}]
44121914,T23,[{'1': 3}]
44121914,T25,[{'14': 3}]
44121914,T26,[{'2': 3}]
44121914,T27,[{'6': 3}]
44121914,T28,[{'7': 3}]
44121914,T29,[{'7': 3}]
44121915,T1,[{'7': 3}]
44121915,T2,[{'7': 3}]
44121915,T3,[{'14': 3}]
44121915,T4,[{'8': 3}]
44121915,T5,[{'15': 3}]
44121915,T7,[{'12': 3}]
44121915,T8,[{'8': 3}]
44121915,T9,[{'8': 3}]
44121915,T10,[{'7': 3}]
44121915,T11,[{'7': 3}]
44121915,T13,[{'14': 3}]
44121915,T14,[{'14': 3}]
44121915,T15,[{'8': 3}]
44121915,T16,[{'6': 3}]
44121915,T17,"[{'4': 1, '15': 2}]"
44121915,T19,[{'2': 3}]
44121915,T20,[{'15': 3}]
44121915,T21,[{'14': 3}]
44121915,T22,[{'7': 3}]
44121915,T23,[{'12': 3}]
44121915,T25,[{'8': 3}]
44121915,T26,[{'14': 3}]
44121915,T27,[{'8': 3}]
44121915,T28,[{'13': 3}]
44121915,T29,[{'14': 3}]
44121918,T1,[{'7': 3}]
44121918,T2,[{'8': 3}]
44121918,T3,[{'10': 3}]
44121918,T4,[{'14': 3}]
44121918,T5,[{'12': 3}]
44121918,T7,[{'2': 3}]
44121918,T8,[{'14': 3}]
44121918,T9,[{'7': 3}]
44121918,T10,[{'2': 3}]
44121918,T11,[{'7': 3}]
44121918,T13,[{'7': 3}]
44121918,T14,[{'12': 3}]
44121918,T15,[{'14': 3}]
44121918,T16,[{'7': 3}]
44121918,T17,[{'7': 3}]
44121918,T19,[{'14': 3}]
44121918,T20,[{'14': 3}]
44121918,T21,[{'2': 3}]
44121918,T22,[{'14': 3}]
44121918,T23,[{'9': 3}]
44121918,T25,[{'13': 3}]
44121918,T26,[{'15': 3}]
44121918,T27,[{'7': 3}]
44121918,T28,[{'14': 3}]
44121918,T29,[{'7': 3}]
44121920,T1,[{'8': 3}]
44121920,T2,[{'7': 3}]
44121920,T3,[{'7': 3}]
44121920,T4,[{'8': 3}]
44121920,T5,[{'14': 3}]
44121920,T7,[{'12': 3}]
44121920,T8,[{'2': 3}]
44121920,T9,[{'13': 3}]
44121920,T10,[{'15': 3}]
44121920,T11,[{'12': 3}]
44121920,T13,"[{'10': 2, 'None': 1}]"
44121920,T14,"[{'6': 2, 'None': 1}]"
44121920,T15,"[{'7': 2, 'None': 1}]"
44121920,T16,"[{'2': 2, 'None': 1}]"
44121920,T17,"[{'6': 2, 'None': 1}]"
44121920,T19,"[{'6': 2, 'None': 1}]"
44121920,T20,"[{'14': 2, 'None': 1}]"
44121920,T21,"[{'8': 2, 'None': 1}]"
44121920,T22,"[{'2': 2, 'None': 1}]"
44121920,T23,"[{'13': 2, 'None': 1}]"
44121920,T25,"[{'7': 2, 'None': 1}]"
44121920,T26,"[{'12': 2, 'None': 1}]"
44121920,T27,"[{'10': 2, 'None': 1}]"
44121920,T28,"[{'7': 2, 'None': 1}]"
44121920,T29,"[{'14': 2, 'None': 1}]"
44121922,T1,[{'2': 3}]
44121922,T2,[{'6': 3}]
44121922,T3,[{'7': 3}]
44121922,T4,[{'7': 3}]
44121922,T5,[{'12': 3}]
44121922,T7,[{'10': 3}]
44121922,T8,[{'12': 3}]
44121922,T9,[{'7': 3}]
44121922,T10,[{'6': 3}]
44121922,T11,[{'14': 3}]
